
duration_max: 1000000 ; a: ponton ; b: est ; spd: 3000
time: 12078 ; d_psi: 14 ; rpm_l: 2790 ; rpm_r: -2910 ; rpm_lb: 2737 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 12636 ; d_psi: -4 ; rpm_l: 2820 ; rpm_r: -2940 ; rpm_lb: 2977 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 13138 ; d_psi: 56 ; rpm_l: 2880 ; rpm_r: -2880 ; rpm_lb: 2203 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 13707 ; d_psi: 10 ; rpm_l: 2610 ; rpm_r: -3030 ; rpm_lb: 2781 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 14217 ; d_psi: -4 ; rpm_l: 2550 ; rpm_r: -3120 ; rpm_lb: 2975 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 14780 ; d_psi: 9 ; rpm_l: 2790 ; rpm_r: -3090 ; rpm_lb: 2789 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 15285 ; d_psi: -10 ; rpm_l: 2760 ; rpm_r: -3150 ; rpm_lb: 3000 ; rpm_rb: 2960 ; th_l: 20 ; th_r: 21
time: 15851 ; d_psi: -17 ; rpm_l: 2880 ; rpm_r: -2970 ; rpm_lb: 3000 ; rpm_rb: 2861 ; th_l: 20 ; th_r: 21
time: 16356 ; d_psi: 14 ; rpm_l: 3090 ; rpm_r: -2940 ; rpm_lb: 2736 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 16904 ; d_psi: 3 ; rpm_l: 2940 ; rpm_r: -2850 ; rpm_lb: 2865 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 17460 ; d_psi: 2 ; rpm_l: 2880 ; rpm_r: -2820 ; rpm_lb: 2881 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 17971 ; d_psi: 17 ; rpm_l: 2910 ; rpm_r: -3015 ; rpm_lb: 2691 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 18503 ; d_psi: -26 ; rpm_l: 2850 ; rpm_r: -2955 ; rpm_lb: 3000 ; rpm_rb: 2750 ; th_l: 20 ; th_r: 21
time: 19007 ; d_psi: -50 ; rpm_l: 2790 ; rpm_r: -2880 ; rpm_lb: 3000 ; rpm_rb: 2451 ; th_l: 20 ; th_r: 21
time: 19572 ; d_psi: 24 ; rpm_l: 2940 ; rpm_r: -2610 ; rpm_lb: 2609 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 20080 ; d_psi: -38 ; rpm_l: 2790 ; rpm_r: -2730 ; rpm_lb: 3000 ; rpm_rb: 2594 ; th_l: 20 ; th_r: 21
time: 20641 ; d_psi: -16 ; rpm_l: 2940 ; rpm_r: -2580 ; rpm_lb: 3000 ; rpm_rb: 2870 ; th_l: 20 ; th_r: 21
time: 21143 ; d_psi: -17 ; rpm_l: 2955 ; rpm_r: -2670 ; rpm_lb: 3000 ; rpm_rb: 2856 ; th_l: 20 ; th_r: 21
time: 21714 ; d_psi: 18 ; rpm_l: 3000 ; rpm_r: -2820 ; rpm_lb: 2685 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 22223 ; d_psi: 3 ; rpm_l: 2880 ; rpm_r: -2940 ; rpm_lb: 2878 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 22782 ; d_psi: 5 ; rpm_l: 2850 ; rpm_r: -3060 ; rpm_lb: 2857 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 23287 ; d_psi: 3 ; rpm_l: 2850 ; rpm_r: -3060 ; rpm_lb: 2876 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 23788 ; d_psi: 33 ; rpm_l: 2820 ; rpm_r: -3210 ; rpm_lb: 2495 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 24295 ; d_psi: 10 ; rpm_l: 2610 ; rpm_r: -3180 ; rpm_lb: 2784 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 24860 ; d_psi: 18 ; rpm_l: 2670 ; rpm_r: -3060 ; rpm_lb: 2687 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 25360 ; d_psi: 13 ; rpm_l: 2580 ; rpm_r: -3000 ; rpm_lb: 2744 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 25910 ; d_psi: -15 ; rpm_l: 2595 ; rpm_r: -2880 ; rpm_lb: 3000 ; rpm_rb: 2890 ; th_l: 20 ; th_r: 21
time: 26459 ; d_psi: 7 ; rpm_l: 2805 ; rpm_r: -2910 ; rpm_lb: 2821 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 26970 ; d_psi: 24 ; rpm_l: 2880 ; rpm_r: -2940 ; rpm_lb: 2603 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 27500 ; d_psi: 5 ; rpm_l: 2790 ; rpm_r: -3000 ; rpm_lb: 2839 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 28005 ; d_psi: 0 ; rpm_l: 2820 ; rpm_r: -2970 ; rpm_lb: 2908 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 28570 ; d_psi: 10 ; rpm_l: 2910 ; rpm_r: -2940 ; rpm_lb: 2774 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 29078 ; d_psi: -4 ; rpm_l: 2910 ; rpm_r: -3000 ; rpm_lb: 2966 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 29633 ; d_psi: -1 ; rpm_l: 2910 ; rpm_r: -2940 ; rpm_lb: 2932 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 30137 ; d_psi: -16 ; rpm_l: 2910 ; rpm_r: -3060 ; rpm_lb: 3000 ; rpm_rb: 2875 ; th_l: 20 ; th_r: 21
time: 30637 ; d_psi: 6 ; rpm_l: 2970 ; rpm_r: -2910 ; rpm_lb: 2835 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 31147 ; d_psi: -1 ; rpm_l: 2970 ; rpm_r: -3000 ; rpm_lb: 2924 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 31707 ; d_psi: -1 ; rpm_l: 2970 ; rpm_r: -3030 ; rpm_lb: 2931 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 32211 ; d_psi: -1 ; rpm_l: 2970 ; rpm_r: -3030 ; rpm_lb: 2933 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 32780 ; d_psi: -9 ; rpm_l: 2970 ; rpm_r: -3030 ; rpm_lb: 3000 ; rpm_rb: 2966 ; th_l: 20 ; th_r: 21
time: 33290 ; d_psi: -9 ; rpm_l: 2940 ; rpm_r: -2985 ; rpm_lb: 3000 ; rpm_rb: 2969 ; th_l: 20 ; th_r: 21
time: 33850 ; d_psi: -4 ; rpm_l: 2970 ; rpm_r: -2940 ; rpm_lb: 2968 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 34357 ; d_psi: -15 ; rpm_l: 3000 ; rpm_r: -2970 ; rpm_lb: 3000 ; rpm_rb: 2886 ; th_l: 20 ; th_r: 21
time: 34903 ; d_psi: -10 ; rpm_l: 3000 ; rpm_r: -2970 ; rpm_lb: 3000 ; rpm_rb: 2949 ; th_l: 20 ; th_r: 21
time: 35452 ; d_psi: -12 ; rpm_l: 3060 ; rpm_r: -2910 ; rpm_lb: 3000 ; rpm_rb: 2930 ; th_l: 20 ; th_r: 21
time: 35963 ; d_psi: 0 ; rpm_l: 3030 ; rpm_r: -2910 ; rpm_lb: 2908 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 36495 ; d_psi: 13 ; rpm_l: 2970 ; rpm_r: -2970 ; rpm_lb: 2753 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 36998 ; d_psi: -1 ; rpm_l: 2850 ; rpm_r: -3000 ; rpm_lb: 2939 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 37570 ; d_psi: 5 ; rpm_l: 2805 ; rpm_r: -2940 ; rpm_lb: 2848 ; rpm_rb: 3000 ; th_l: 20 ; th_r: 21
time: 38076 ; d_psi: -12 ; rpm_l: 2805 ; rpm_r: -2970 ; rpm_lb: 3000 ; rpm_rb: 2927 ; th_l: 20 ; th_r: 21
