
duration: 50 ; psi_bar: 90 ; spd: 3000
time: 15957 ; d_psi: -22 ; rpm_l: 1830 ; rpm_r: -3060 ; rpm_lb: 3000 ; rpm_rb: 2764 ; th_l: 23 ; th_r: 25
time: 16515 ; d_psi: -14 ; rpm_l: 2430 ; rpm_r: -2850 ; rpm_lb: 3000 ; rpm_rb: 2860 ; th_l: 23 ; th_r: 25
time: 17051 ; d_psi: 58 ; rpm_l: 2790 ; rpm_r: -2760 ; rpm_lb: 2219 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 17563 ; d_psi: 64 ; rpm_l: 2730 ; rpm_r: -2850 ; rpm_lb: 2140 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 18078 ; d_psi: 31 ; rpm_l: 2370 ; rpm_r: -2910 ; rpm_lb: 2548 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 18633 ; d_psi: 29 ; rpm_l: 2490 ; rpm_r: -2940 ; rpm_lb: 2573 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 19152 ; d_psi: 108 ; rpm_l: 2640 ; rpm_r: -3030 ; rpm_lb: 1583 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 19705 ; d_psi: -6 ; rpm_l: 2010 ; rpm_r: -3060 ; rpm_lb: 3000 ; rpm_rb: 2985 ; th_l: 23 ; th_r: 25
time: 20220 ; d_psi: 21 ; rpm_l: 2370 ; rpm_r: -3030 ; rpm_lb: 2665 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 20781 ; d_psi: 76 ; rpm_l: 2580 ; rpm_r: -3030 ; rpm_lb: 1967 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 21285 ; d_psi: -1 ; rpm_l: 2370 ; rpm_r: -3060 ; rpm_lb: 2941 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 21831 ; d_psi: -7 ; rpm_l: 2640 ; rpm_r: -3030 ; rpm_lb: 3000 ; rpm_rb: 2983 ; th_l: 23 ; th_r: 25
time: 22345 ; d_psi: -16 ; rpm_l: 2880 ; rpm_r: -2940 ; rpm_lb: 3000 ; rpm_rb: 2868 ; th_l: 23 ; th_r: 25
time: 22851 ; d_psi: -24 ; rpm_l: 3090 ; rpm_r: -2940 ; rpm_lb: 3000 ; rpm_rb: 2765 ; th_l: 23 ; th_r: 25
time: 23364 ; d_psi: 0 ; rpm_l: 3210 ; rpm_r: -2790 ; rpm_lb: 2923 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 23922 ; d_psi: -34 ; rpm_l: 3180 ; rpm_r: -2880 ; rpm_lb: 3000 ; rpm_rb: 2633 ; th_l: 23 ; th_r: 25
time: 24425 ; d_psi: -40 ; rpm_l: 3090 ; rpm_r: -2730 ; rpm_lb: 3000 ; rpm_rb: 2561 ; th_l: 23 ; th_r: 25
time: 24966 ; d_psi: 13 ; rpm_l: 3150 ; rpm_r: -2550 ; rpm_lb: 2768 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 25522 ; d_psi: 2 ; rpm_l: 2880 ; rpm_r: -2730 ; rpm_lb: 2899 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 26058 ; d_psi: 4 ; rpm_l: 2910 ; rpm_r: -2820 ; rpm_lb: 2875 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 26634 ; d_psi: -15 ; rpm_l: 2910 ; rpm_r: -2970 ; rpm_lb: 3000 ; rpm_rb: 2875 ; th_l: 23 ; th_r: 25
time: 27153 ; d_psi: -20 ; rpm_l: 2820 ; rpm_r: -3060 ; rpm_lb: 3000 ; rpm_rb: 2802 ; th_l: 23 ; th_r: 25
time: 27699 ; d_psi: -24 ; rpm_l: 2910 ; rpm_r: -2910 ; rpm_lb: 3000 ; rpm_rb: 2759 ; th_l: 23 ; th_r: 25
time: 28214 ; d_psi: -158 ; rpm_l: 3030 ; rpm_r: -2850 ; rpm_lb: 3000 ; rpm_rb: 1060 ; th_l: 23 ; th_r: 25
time: 28778 ; d_psi: -48 ; rpm_l: 3030 ; rpm_r: -1800 ; rpm_lb: 3000 ; rpm_rb: 2435 ; th_l: 23 ; th_r: 25
time: 29281 ; d_psi: -23 ; rpm_l: 3060 ; rpm_r: -1770 ; rpm_lb: 3000 ; rpm_rb: 2748 ; th_l: 23 ; th_r: 25
time: 29845 ; d_psi: 41 ; rpm_l: 3030 ; rpm_r: -2070 ; rpm_lb: 2439 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 30358 ; d_psi: 125 ; rpm_l: 2640 ; rpm_r: -2550 ; rpm_lb: 1381 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 30914 ; d_psi: 2 ; rpm_l: 1890 ; rpm_r: -2970 ; rpm_lb: 2908 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 31418 ; d_psi: -12 ; rpm_l: 2010 ; rpm_r: -3240 ; rpm_lb: 3000 ; rpm_rb: 2902 ; th_l: 23 ; th_r: 25
time: 31960 ; d_psi: 0 ; rpm_l: 2430 ; rpm_r: -3270 ; rpm_lb: 2948 ; rpm_rb: 3000 ; th_l: 23 ; th_r: 25
time: 32516 ; d_psi: -111 ; rpm_l: 2700 ; rpm_r: -3180 ; rpm_lb: 3000 ; rpm_rb: 1644 ; th_l: 23 ; th_r: 25
time: 33049 ; d_psi: -7 ; rpm_l: 3060 ; rpm_r: -2460 ; rpm_lb: 3000 ; rpm_rb: 2945 ; th_l: 23 ; th_r: 25
time: 33556 ; d_psi: -21 ; rpm_l: 3360 ; rpm_r: -2520 ; rpm_lb: 3000 ; rpm_rb: 2779 ; th_l: 23 ; th_r: 25
time: 34071 ; d_psi: -17 ; rpm_l: 3330 ; rpm_r: -2520 ; rpm_lb: 3000 ; rpm_rb: 2824 ; th_l: 23 ; th_r: 25
time: 34641 ; d_psi: -48 ; rpm_l: 3240 ; rpm_r: -2640 ; rpm_lb: 3000 ; rpm_rb: 2432 ; th_l: 23 ; th_r: 25
time: 35160 ; d_psi: -32 ; rpm_l: 3060 ; rpm_r: -2580 ; rpm_lb: 3000 ; rpm_rb: 2624 ; th_l: 23 ; th_r: 25
