time: 7366 ; d_psi: 11 ; rpm_l: 2970 ; rpm_r: -1440 ; rpm_lb: 2856 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 7868 ; d_psi: -89 ; rpm_l: 2790 ; rpm_r: -2760 ; rpm_lb: 3000 ; rpm_rb: 1872 ; th_l: 22 ; th_r: 24
time: 8401 ; d_psi: -153 ; rpm_l: 2940 ; rpm_r: -2190 ; rpm_lb: 3000 ; rpm_rb: 1060 ; th_l: 22 ; th_r: 24
time: 8909 ; d_psi: -88 ; rpm_l: 3000 ; rpm_r: -990 ; rpm_lb: 3000 ; rpm_rb: 1859 ; th_l: 22 ; th_r: 24
time: 9482 ; d_psi: -120 ; rpm_l: 2970 ; rpm_r: -1380 ; rpm_lb: 3000 ; rpm_rb: 1452 ; th_l: 22 ; th_r: 24
time: 9982 ; d_psi: -121 ; rpm_l: 3120 ; rpm_r: -1380 ; rpm_lb: 3000 ; rpm_rb: 1423 ; th_l: 22 ; th_r: 24
duration: 10 ; psi_bar: 0 ; spd: 3000
time: 0 ; d_psi: -31 ; rpm_l: 2970 ; rpm_r: -1290 ; rpm_lb: 3000 ; rpm_rb: 2608 ; th_l: 22 ; th_r: 24
time: 509 ; d_psi: -84 ; rpm_l: 2760 ; rpm_r: -4200 ; rpm_lb: 3000 ; rpm_rb: 1939 ; th_l: 22 ; th_r: 24
time: 1069 ; d_psi: -62 ; rpm_l: 3270 ; rpm_r: -2640 ; rpm_lb: 3000 ; rpm_rb: 2202 ; th_l: 22 ; th_r: 24
time: 1574 ; d_psi: 71 ; rpm_l: 3090 ; rpm_r: -1920 ; rpm_lb: 2117 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 2143 ; d_psi: -52 ; rpm_l: 2010 ; rpm_r: -2460 ; rpm_lb: 3000 ; rpm_rb: 2327 ; th_l: 22 ; th_r: 24
time: 2647 ; d_psi: 4 ; rpm_l: 2610 ; rpm_r: -2280 ; rpm_lb: 2959 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 3150 ; d_psi: 176 ; rpm_l: 3060 ; rpm_r: -2820 ; rpm_lb: 791 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 3653 ; d_psi: -108 ; rpm_l: 1110 ; rpm_r: -3150 ; rpm_lb: 3000 ; rpm_rb: 1634 ; th_l: 22 ; th_r: 24
time: 4215 ; d_psi: -52 ; rpm_l: 2010 ; rpm_r: -1890 ; rpm_lb: 3000 ; rpm_rb: 2330 ; th_l: 22 ; th_r: 24
time: 4720 ; d_psi: -117 ; rpm_l: 3060 ; rpm_r: -1800 ; rpm_lb: 3000 ; rpm_rb: 1511 ; th_l: 22 ; th_r: 24
time: 5221 ; d_psi: -104 ; rpm_l: 3390 ; rpm_r: -1350 ; rpm_lb: 3000 ; rpm_rb: 1659 ; th_l: 22 ; th_r: 24
time: 5725 ; d_psi: 95 ; rpm_l: 3360 ; rpm_r: -1290 ; rpm_lb: 1833 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 6277 ; d_psi: -62 ; rpm_l: 1980 ; rpm_r: -2940 ; rpm_lb: 3000 ; rpm_rb: 2195 ; th_l: 22 ; th_r: 24
time: 6823 ; d_psi: 62 ; rpm_l: 2610 ; rpm_r: -2520 ; rpm_lb: 2241 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 7326 ; d_psi: -62 ; rpm_l: 2340 ; rpm_r: -3060 ; rpm_lb: 3000 ; rpm_rb: 2194 ; th_l: 22 ; th_r: 24
time: 7863 ; d_psi: -7 ; rpm_l: 2880 ; rpm_r: -2550 ; rpm_lb: 3000 ; rpm_rb: 2880 ; th_l: 22 ; th_r: 24
time: 8373 ; d_psi: -33 ; rpm_l: 3060 ; rpm_r: -2880 ; rpm_lb: 3000 ; rpm_rb: 2553 ; th_l: 22 ; th_r: 24
time: 8942 ; d_psi: 32 ; rpm_l: 3150 ; rpm_r: -2670 ; rpm_lb: 2624 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 9444 ; d_psi: -16 ; rpm_l: 2730 ; rpm_r: -2940 ; rpm_lb: 3000 ; rpm_rb: 2769 ; th_l: 22 ; th_r: 24
time: 9998 ; d_psi: 47 ; rpm_l: 2970 ; rpm_r: -2940 ; rpm_lb: 2429 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
